judul,link,konten,halaman_sumber_pencarian
"Wamendes: 80 Ribu Kopdes Merah Putih Launching Juli, Bisa Salurkan BLT-Bansos",https://news.detik.com/berita/d-7924631/wamendes-80-ribu-kopdes-merah-putih-launching-juli-bisa-salurkan-blt-bansos,"Wakil Menteri Desa dan Pembangunan Daerah Tertinggal Ahmad Riza Patria menyampaikan pemerintah akan meluncurkan 80 ribuKoperasi Merah Putihpada 12 Juli 2025. Program ini akan mencakup seluruh desa dan kelurahan di Indonesia untuk penguatan ekonomi rakyat dan distribusi layanan sosial.
Riza menegaskan koperasi tersebut akan menjadi pusat distribusi kebutuhan dasar masyarakat kecil, mulai dari sembako, LPG, hingga penyaluran bantuan langsung tunai (BLT) dan bantuan sosial (bansos) lainnya.
""Pak Presiden ingin koperasi desa ini menyalurkan bantuan sosial, BLT, memenuhi kebutuhan pupuk, sembako, bahkan jadi distributor LPG. Semua untuk mendekatkan layanan negara kepada masyarakat. Yang diharapkan nanti tanggal 12 Juli, hari koperasi akan di-launching, 80 ribu koperasi desa,"" kata Rizadi Balai Agung, Balai Kota Jakarta, Rabu (21/5/2025).
Ia menjelaskan, koperasi-koperasi ini akan dilengkapi dengan berbagai fasilitas, termasuk kantor, klinik kesehatan, apotek,cold storage, serta kendaraan logistik. Ia berharap, koperasi mampu menyerap hasil pertanian dan nelayan, serta menyediakan layanan dasar di tingkat lokal dengan harga terjangkau.
Di sisi lain, ia juga mengungkapkan bahwa pembentukan koperasi akan dilakukan melalui mekanisme musyawarah kelurahan atau desa. Para lurah akan bertindak sebagai Ketua Dewan Pengawas, didampingi oleh pengurus dan pengawas koperasi yang ditetapkan secara kolektif. Legalitas koperasi akan diproses melalui notaris dan Kementerian Hukum dan HAM.
""Di beberapa negara, koperasi sudah menjadi kolomerasi. Kita akan buktikan, Jakarta harus bisa. Saya yakin, koperasi di DKI akan jadi yang terbaik dari 80.000 koperasi di seluruh Indonesia,"" tegasnya.
Ia juga menyampaikan apresiasi atas dukungan penuh Gubernur DKI Jakarta, Pramono Anung, yang telah menargetkan seluruh koperasi kelurahan di Jakarta terbentuk sebelum diresmikan pada 12 Juli.
""Kalau daerah lain bisa, apalagi Jakarta. SDM-nya terbaik, anggarannya tinggi, aksesnya mudah, dan ada kepemimpinan yang kuat,"" pungkasnya.
Ariza mengatakan Kopdes Merah Putih juga nantinya akan menjual sembako harga murah, menyalurkan bantuan langsung tunai hingga bansos.
""Kita menambahkan nanti koperasi ini akan menjual, menjadi distribusi, distributor LPG umpamanya, pupuk, kalau di desa-desa, nanti bisa menjual sembako dengan harga yang lebih murah, bisa menyalurkan bantuan langsung tunai, bisa menyalurkan bansos dan sebagainya,"" tutunya.
Diketahui,Koperasi Desa/Kelurahan Merah Putih (Kopdes/kel) merupakan program yang akan diluncurkan oleh Kementerian Koperasi (Kemenkop). Program ini direncanakan launching pada 12 Juli 2025 mendatang, bertepatan dengan Hari Koperasi Nasional.
Melalui Instruksi Presiden (Inpres) Nomor 9 Tahun 2025, pemerintah menargetkan pembentukan 80 ribu Koperasi Merah Putih. Program ini sebagai bentuk komitmen pemerintah dalam memperkuat ekonomi desa dan meningkatkan kesejahteraan masyarakat.
Adapun modal untuk pembentukan koperasi ini bersumber dari Anggaran Pendapatan dan Belanja Negara, Daerah, dan Desa, serta sumber lain yang sah sesuai ketentuan perundang-undangan.
Simak juga Video Menko Zulhas: Kopdes Dibentuk untuk Meminimalisir Tengkulak dan Rentenir",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Subsidi BBM & Listrik Diganti ke BLT Tergantung Keputusan Prabowo,https://finance.detik.com/energi/d-7622373/subsidi-bbm-listrik-diganti-ke-blt-tergantung-keputusan-prabowo,"Pemerintah berencana mengeluarkan skema baru subsidi energi. Menurut Menteri ESDM Bahlil Lahadalia ada opsi mengalihkan subsidi BBM dan listrik menjadi bantuan langsung tunai (BLT).
Proses pengkajian pun, menurut Bahlil, masih dijalankan sambil menanti laporan dari Pertamina, BPH Migas, dan PLN.
""Untuk subsidi listrik, untuk subsidi listrik sama BBM, kami masih melakukanexercisesecara mendalam karena kita harus hati-hati, karena kita harus menunggu laporan dari teman-teman dari Pertamina, BPH Migas, dan PLN secara mendalam,"" ungkap Bahlil di kantornya, Jakarta Pusat, Senin (4/11/2024).
""Kalau sudah selesai dalam waktu tidak lama, satu minggu dari sekarang, itu sudah ada formulasinya yang tepat untuk kami laporan kepada Bapak Presiden,"" sambung mantan Menteri Investasi/Kepala BKPM itu.
Ketika ditanya soal kemungkinan skema subsidi diubah jadi BLT, Bahlil pun membenarkan. Opsi yang dibahas memang mengerucut ke kebijakan tersebut.
""BLT-nya salah satu opsi dan akan diputuskan nanti pada hari yang tepat. Dan opsinya saya pikir lebih mengerucut ke sana,"" ungkap Bahlil.
Dia juga bilang nantinya subsidi akan ada yang berbentuk tunai dan juga barang untuk komoditas BBM dan listrik.
""Jadi subsidi tetap ada, cuma ada yang berbentuk cash dan ada yang berbentuk barang,"" kata Bahlil.
Soal apakah harga BBM subsidi akan dinaikkan sesuai harga pasar setelah subsidi baru ditetapkan, Bahlil tak mau menjawab dengan pasti. Semua kebijakan masih dikaji.
""Kita lagi mengkaji opsinya semuanya ya. Nanti kalau sudah dapat opsinya, baru kita umumkan. Karena ini kita harus hati-hati,"" pungkas Bahlil.
Selain itu, Bahlil memastikan subsidi LPG 3 kilogram (kg) tidak akan beralih menjadi BLT.""Kami sudah memutuskan untuk LPG kami akan mengusulkan kepada Bapak Presiden untuk tidak dilakukan koreksi apa-apa,"" ungkap Bahlil.
Alasannya, Bahlil mengatakan, LPG 3 kg sangat dibutuhkan untuk UMKM hingga konsumsi rumah tangga, maka dari itu skema subsidinya tidak akan diubah.
""Artinya untuk LPG masih berlaku seperti sekarang ini, itu yang kami akan usulkan kepada Bapak Presiden. Karena ini terkait dengan UMKM, ibu rumah tangga, konsumsi rumah tangga, jadi kami harus lihat,"" ujar Bahlil.
Tapi Bahlil menegaskan subsidi tepat sasaran tetap berlaku untuk penyaluran LPG. Skema yang dipilih adalah subsidi tertutup dengan pendaftaran melalui NIK seperti yang selama ini sudah mulai dilakukan.
Masyarakat yang butuh subsidi akan diminta mendaftar, apabila profilnya tepat untuk menerima subsidi maka akan diberikan LPG subsidi.
""Iya, seperti itu. Jadi pakai NIK ya, karena kalau tidak kan orang belidouble-double,"" kata Bahlil.
Paling lambat proses pendaftaran subsidi berbasis NIK untuk LPG akan dilakukan pada kuartal pertama tahun depan.
""Kami targetkan paling lambat di kuartal pertama tahun depan, paling lambat ya,"" ujar Bahlil.
Lihat Video: Prabowo Temui Jokowi di Solo, Gerindra: Sudah Ada Janji
[Gambas:Video 20detik]",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"Kepedulian Walkot Vinanda ke Warga Kediri, Bagikan BLT-Kursi Roda",https://www.detik.com/jatim/berita/d-7890412/kepedulian-walkot-vinanda-ke-warga-kediri-bagikan-blt-kursi-roda,"Wali Kota Kediri Vinanda Prameswati menyampaikan duka cita mendalam saat bertakziah ke rumah duka Ibu Nasiatin, warga Kelurahan Semampir. Ibu Nasiatin merupakan salah satu penerima manfaat bantuan kursi roda dari Pemerintah Kota Kediri.
""Saya turut berduka atas kepergian Ibu Nasiatin. Semoga almarhumah diampuni segala dosanya, amal ibadahnya diterima, dan diberikan tempat terbaik di sisi Allah SWT,"" kata Vinanda, Senin (28/4/2025)
Dalam kunjungannya, Mbak Wali bertemu keluarga almarhumah untuk memberikan dukungan dan doa bagi keluarga yang ditinggalkan. ""Semoga keluarga yang ditinggalkan selalu diberikan kekuatan, kesabaran, dan ketabahan,"" imbuhnya.
Ainul Mustakim, adik almarhumah, menuturkan bahwa Ibu Nasiatin menderita komplikasi penyakit jantung dan paru-paru selama sekitar satu tahun.
""Sebelumnya, kakak saya merantau ke Tulungagung, lalu sakit dan kembali ke Kediri. Selama sakit sudah menjalani berbagai pengobatan hingga cuci darah,"" ungkap Ainul.
Ainul juga mengucapkan terima kasih atas perhatian Mbak Wali yang telah mengupayakan pengobatan bagi kakaknya, meskipun takdir berkata lain.
Di hari yang sama, Vinanda juga menyerahkan santunan kematian kepada 111 ahli waris di Aula Kelurahan Semampir. Selain itu, diserahkan pula bantuan biaya hidup kepada 18 orang disabilitas dan lansia yang belum pernah mendapatkan bantuan dari pemerintah daerah.
Mbak Wali menegaskan bantuan ini merupakan bentuk kepedulian Pemerintah Kota Kediri untuk meringankan beban masyarakat.
Santunan dan bantuan alat bantu ini juga merupakan bagian dari realisasi Sapta Cita ke-5, yaitu program Smart Living untuk mewujudkan Kota Ramah Disabilitas.
Setelah acara penyerahan, Mbak Wali menyempatkan diri mengunjungi rumah warga disabilitas di Kelurahan Semampir untuk menyerahkan langsung bantuan berupa kursi roda dan alat bantu lainnya, seperti kaki palsu, alat bantu jalan, korset penyangga punggung, alat bantu pendengaran, dan penyangga leher. Total ada 21 orang disabilitas yang menerima bantuan alat bantu tersebut.",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"Video: Subsidi BBM-Listrik Tak Tepat Sasaran, Bahlil Bakal Kaji Jadi BLT",https://20.detik.com/detikupdate/20241103-241103083/video-subsidi-bbm-listrik-tak-tepat-sasaran-bahlil-bakal-kaji-jadi-blt,"Pemerintah akan mengkaji skema subsidi bahan bakar minyak (BBM) dan listrik. Menteri Energi dan Sumber Daya Mineral,Bahlil Lahadaliamengatakan rencana ini dilakukan karena subsidi tidak tepat sasaran.",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Kata Bahlil Soal Opsi Alihkan Subsisi BBM-Listrik untuk BLT,https://www.detik.com/sumut/berita/d-7618281/kata-bahlil-soal-opsi-alihkan-subsisi-bbm-listrik-untuk-blt,"Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia buka suara soal rencana mengubah skema subsidi energi untuk masyarakat. Dia menyebut tengah menggodok skema baru subsisi BBM dan listrik.
""Kita akan mencoba untuk mencari formulasi listrik dan BBM,"" kata Bahlil di Kementerian ESDM, dilansirdetikFinance,Sabtu (2/11/2024).
Menurutnya, pihaknya saat ini tengah merumuskan mengalihkan subsidi menjadi Bantuan Langsung Tunai (BLT). Namun, ada kemungkinan beberapa opsi terkait hal itu nantinya.
""Opsi A bisa ke BLT langsung, opsi B-nya nanti kita lagi pikirkan. Ada beberapa opsi lah, tapi belum ada keputusan,"" terangnya.
Untuk itu, akan dilibatkan juga Kementerian Sosial, Pertamina,PLN hingga BPS. Selain untukBBM dan Listrik, subsidi di LPG, menurutnya masih akan mempertimbangkan mengingat LPG menyangkut keberlangsungan UMKM dan rumah tangga.
Ketum Golkar tersebut mengatakan, alasan perubahan skema subsidi energi tersebut dilakukan karena karena subsidi yang dikeluarkan pemerintah kian besar. Namun sayangnya subsidi tersebut, kata dia, tidak tepat sasaran. Banyak warga yang tidak berhak menerima subsidi namun memanfaatkannya.
Bahlil mencontohkan subsidi di BBM yang dimanfaatkan oleh pengguna mobil dengan cubicle centimeter (CC) yang besar dan pelat hitam. Hal itu menurutnya harus menjadi perhatian.
""Ini kan subsidi kita itu kan totalnya kan Rp 435 triliun ya. Terdiri dari LPG, kemudian listrik, kemudian BBM. Nah, kami nanti rapat kemungkinan hari Senin atau Selasa. Kami mulai rapatkan untuk menggodok karena ditengarai bahwa sebagian subsidi kita itu tidak tepat sasaran,"" pungkasnya.",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
DPR hingga Petani Tolak Wacana Subsidi Pupuk Diganti BLT,https://finance.detik.com/berita-ekonomi-bisnis/d-7532828/dpr-hingga-petani-tolak-wacana-subsidi-pupuk-diganti-blt,"Wacana pemerintah yang akan mengganti subsidi pupuk dengan bantuan langsung tunai (BLT) mendapat penolakan keras dari berbagai pihak. Dewan Perwakilan Rakyat (DPR) hingga para petani diketahui meminta secara tegas wacana tersebut dibatalkan.
Mereka menilai mekanisme BLT hanya akan menimbulkan masalah baru dan merugikan petani yang saat ini terus berproduksi.
""Kalau diganti BLT, apakah nantinya akan mengikuti harga pupuk subsidi atau non subsidi. Jadi jangan sampai malah perusahaan pupuknya yang dapat subsidi, bukan petani yang melakukan kegiatan produksi pertanian,"" kata Anggota Komisi IV DPR RI dari Fraksi PKS Johan Rosihan dalam keterangannya, Senin (9/9/2024).
""Secara tegas saya tidak setuju subsidi pupuk diubah dalam bentuk BLT. Sebab hal ini akan merugikan petani dan menyebabkan harga pupuk semakin mahal,"" tegasnya.
Menurut Johan, keinginan pemerintah dalam hal ini Menteri Koordinator Maritim dan Investasi Luhut Binsar Panjaitan sangat tidak masuk akal. Bahkan, ia menyebut Luhut tidak melihat realitas persoalan subsidi pupuk yang dialami para petani.
Lebih dari itu, Johan mengatakan penggantian pupuk ke BLT tidak sesuai dengan tujuan dari subsidi pupuk itu sendiri, yakni agar harga yang beredar di pasar tidak memberatkan para petani dalam meningkatkan produksi pertanian.
""Dan lagi pula BLT yang diterima itu nantinya akan tidak fokus untuk tujuan pembelian pupuk dan sangat rentan digunakan untuk keperluan lainnya. Saya mengimbau agar pemerintah lebih fokus pada distribusi pupuk bersubsidi yang lebih tepat sasaran. Kemudian juga pemerintah harus lebih tegas terhadap segala permainan dan penyimpangan di lapangan,"" ujar Johan.
""Ingat, tujuan utama dari subsidi pupuk itu adalah tepat sasaran sesuai dengan kriteria yang telah ditetapkan pemerintah,"" tambahnya.
Penolakan pun datang dari para petani Jember yang tergabung dalam Kontak Tani Nelayan Andalan (KTNA) dan Himpunan Kerukunan Tani Indonesia (HKTI). Asosiasi Kios Pupuk juga sepakat menolak wacana tersebut.
Mereka menilai subsidi dalam bentuk bantuan langsung sangat kontraproduktif dan rentan meleset dari sasaran. Sebab, selain data petani yang hingga kini masih amburadul, di tingkat bawah juga ada klaster petani, seperti petani pemilik sawah, petani penyewa, petani penggarap, dan buruh tani.
""Belum lagi soal peralihan hak kelola sawah, baik melalui jual beli, gadai atau sewa menyewa. Padahal, yang masuk dalam Sistem e-RDKK (Elektronik Rencana Definitif Kebutuhan Kelompok) adalah pihak pertama. Dan e-RDKK inilah yang selama ini menjadi acuan pemerintah menggelontorkan pupuk subsidi ke petani,"" kata Sekretaris KTNA Kabupaten Jember Hendro Handoko.
Hendro meminta pemerintah tidak buru-buru mengeluarkan wacana yang dalam praktiknya justru menimbulkan kerancuan semacam itu. Harusnya, saran Hendro, pemerintah memperbaiki data petani dan sistem yang bakal digunakan sebagai acuan penyaluran subsidi, sehingga bisa tepat sasaran.
""Dan menurut saya, distribusi pupuk ini akan lancar jika masalah-masalah teknis itu bisa diperbaiki. Contohnya tentang I-Pubers (aplikasi penyaluran pupuk bersubsidi), kadang-kadang satu hari bahkan bisa dua hari terkendala, sehingga tidak bisa menyalurkan,"" katanya.
Sebagai informasi, penolakan yang sama juga diutarakan para petani Jatim yang tergabung dalam Kontak Tani Nelayan Andalan (KTNA) Jawa Timur, Himpunan Kerukunan Tani Indonesia (HKTI) Jatim, Pemuda Tani Indonesia, Kamar Dagang dan Industri (Kadin) Jatim, Gabungan Kelompok Tani (Gapoktan) Tunas Harapan Desa Sumberdanti, Kecamatan Sukowono dan juga para petani dari KTNA maupun petani penggarap lainya.
Simak Video: Jokowi Bakal Tingkatkan Subsidi Pupuk Jadi 9,5 Juta Ton Tahun Ini
[Gambas:Video 20detik]",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"Pemerintah Kaji Subsidi BBM Diubah Jadi BLT, Mensos: Lagi Konsolidasi Data",https://news.detik.com/berita/d-7625385/pemerintah-kaji-subsidi-bbm-diubah-jadi-blt-mensos-lagi-konsolidasi-data,"Menteri Sosial Saifullah Yusuf atauGus Ipulmenjawab wacana pemberian bantuan langsung tunai (BLT) sebagai pengganti subsidi energi, termasuk bahan bakar minyak. Gus Ipul mengatakan wacana itu masih dalam pembahasan.
""Nanti lagi dibahas.Kita tunggu aja, kita tunggu aja. Pada prinsipnya jangan sampai subsidi itu salah sasaran itu kan,"" kata Gus Ipul dalam acara 'Ramah Tamah Keluarga Pahlawan dan Perintis Kemerdekaan' di Gedung Konvensi TMP Kalibata, Jakarta Selatan, Rabu (6/11/2024).
Gus Ipul menambahkan, saat ini Kementerian Sosial dan sejumlah pihak terkait tengah melakukan konsolidasi data terkait usulan tersebut.
""Maka itu nanti kebijakannya seperti apa kita tunggu. Tapi Kementerian Sosial dengan beberapa kementerian yang lain sekarang ini diminta untuk konsolidasi data itu,"" lanjutnya.
Menurut Gus Ipul, pencocokan data itu diharapkan mengurangi kemungkinan adanya kesalahan dalam penyaluran subsidi. Dia menekankan bantuan subsidi bisa diberikan kepada warga yang benar-benar membutuhkan.
""Salah satu yang harus kita persiapkan kalau subsidi ini harus tepat sasaran adalah data.Dan data itu data tunggal yang jadi pegangan, pedoman bagi semua kementerian dan lembaga,"" katanya.
Dia mengatakan pengumpulan data tersebut akan selesai dalam waktu dekat.Gus Ipulmenyebut usai data penerima subsidi telah rampung, kebijakan subsidi energi bisa dimulai.
""Insyaallah dalam beberapa waktu ke depan sudah mudah-mudahan bisa terwujud itu dan berdasarkan data itu kita bekerja,"" pungkasnya.
Simak juga Video: Subsidi BBM-Listrik Tak Tepat Sasaran, Bahlil Bakal Kaji Jadi BLT
[Gambas:Video 20detik]",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Ratusan Buruh Rokok di Pekalongan Terima BLT Cukai,https://finance.detik.com/foto-bisnis/d-7845116/ratusan-buruh-rokok-di-pekalongan-terima-blt-cukai,Pekalongan- Sebanyak 500 buruh rokok di Pekalongan menerima bantuan langsung tunai (BLT) Dana Bagi Hasil Cukai Hasil Tembakau (DBHCHT). BLT senilai Rp600 ribu per orang.,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"KTP Dipinjam Buat Akali Pajak Progresif Kendaraan, Bisa-bisa Tak Dapat BLT!",https://oto.detik.com/berita/d-7641493/ktp-dipinjam-buat-akali-pajak-progresif-kendaraan-bisa-bisa-tak-dapat-blt,"Fenomena meminjam KTP untuk beli mobil demi mengakali pajak progresif kendaraan masih terjadi. Tapi awas, bisa-bisa kamu gagal dapat BLT karena identitasnya dipinjam buat beli mobil.
Pajak progresif dinilai memberatkan bagi para pemilik kendaraan. Mereka yang mau memiliki kemampuan untuk membeli banyak kendaraan, merasa terganjal dengan adanya kebijakan tersebut. Bukan tanpa alasan, makin banyak kendaraan yang dimiliki, pajaknya juga makin tinggi.
Alhasil, banyak orang berduit yang justru mengakali kebijakan ini. Ada yang meminjam KTP milik orang lain saat pembelian mobil. Seringkali ditemukan, KTP yang dipinjam itu tak mencerminkan kendaraan yang dibelinya. Tempat tinggal di kawasan gang, rumah kecil, dan terdaftar sebagai penerima Bantuan Langsung Tunai (BLT). Namun dengan adanya fenomena meminjam KTP untuk beli kendaraan ini, bisa-bisa mereka yang harusnya mendapat BLT justru terancam kehilangan mendapat bantuan pemerintah itu.
""Kita punya database yang pembagian bansos, akhirnya nggak kebagian bansos nanti kan karena (terdaftar) punya Ferrari padahal rumahnya gubuk kan kasihan kan. Kenapa orang pada begitu, karena ada pajak progresif,"" ujar Direktur Registrasi dan Identifikasi Korlantas Polri Yusri Yunus saat berbincang dengan detikOto belum lama ini.
Korlantas Polri sejatinya terus mendorong agar pajak progresif dihapuskan. Penghapusan pajak progresif ini juga membuat data kepemilikan kendaraan jadi lebih valid. Tak ada lagi fenomena pinjam KTP demi mengakali pajak progresif.
Kalau dihapuskan kata Yusri, masyarakat akan membayar pajak kendaraan sekalipun punya banyak unit. Penegakkan hukum pun lebih tepat sasaran ke mereka yang memang melakukan pelanggaran lalu lintas.
""Orang Indonesia kan sering beli mobil, punya duit beli mobil tapi takut kena progresif numpang pakai KTP sopirnya, pakai KTP orang lain gitu lho. Tapi kalau melanggar, yang dikirim surat cinta ke sopirnya kasihan atau ke saudaranya, padahal yang melanggar siapa, yang punya mobil,"" tegas Yusri.",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Zulhas Sebut BLT Rp 600 Ribu Bisa Disalahgunakan buat Judi Online,https://finance.detik.com/berita-ekonomi-bisnis/d-7668527/zulhas-sebut-blt-rp-600-ribu-bisa-disalahgunakan-buat-judi-online,"Menteri Koordinator Bidang Pangan, Zulkifli Hasan (Zulhas) menyampaikan Pesan Presiden Prabowo Subianto terhadap para petani Indonesia. Menurut Zulhas, Prabowo ingin melatih para petani agar mau bekerja keras dan lebih produktif.
""Yang paling penting, saya, Pak Prabowo, dan kita ingin agar rakyat kita itu kita latih produktif. Kita harus berusaha sebagian besar petani kita itu produktif, mau bekerja,"" kata Zulhas dalam Sarasehan 100 Ekonom Indonesia di Menara Bank Mega, Jakarta Selatan, Selasa (3/12/2024).
Ia juga menyindir program bantuan terhadap kelompok miskin yang diberikan dalam bentuk beras dan uang tunai. Menurut Zulhas, pola seperti itu saja bisa disalahgunakan untuk judi online.
""Daripada kita terus seperti sekarang. Miskin kita kasih 10 kilo beras. Miskin kita kasih Rp. 600.000. Habis itu dia menghayal jadi orang kaya, Rp 600 ribu akhirnya ikut judi online. Betul ini kenyataan sekarang. Jadi, itu sangat tidak produktif dan saya kira merusak . Kita tidak akan menjadi bangsa yang maju,"" ujarnya.
Zulhas menjelaskan pada dasarnya para petani Indonesia tergolong rajin. Hanya saja petani meminta kepastian agar produk mereka dapat dibeli dengan harga yang bagus.
""Tapi intinya kita ingin Bulog itu berapa pun hasil gabah petani dia beli. Berapa pun produksi jagungnya petani itu, mereka beli dengan harga yang bagus, bukan dengan harga yang merugikan petani, tapi harga yang bagus.
""Misalnya jagung dibeli dengan harga Rp 5.500, nanti Bulognya jual Rp 4.000 atau Rp 4.500, nggak apa-apa, subsidi buat mereka,"" tutupnya.",https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
