judul,link,halaman_sumber
"Wamendes: 80 Ribu Kopdes Merah Putih Launching Juli, Bisa Salurkan BLT-Bansos",https://news.detik.com/berita/d-7924631/wamendes-80-ribu-kopdes-merah-putih-launching-juli-bisa-salurkan-blt-bansos,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Subsidi BBM & Listrik Diganti ke BLT Tergantung Keputusan Prabowo,https://finance.detik.com/energi/d-7622373/subsidi-bbm-listrik-diganti-ke-blt-tergantung-keputusan-prabowo,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"Kepedulian Walkot Vinanda ke Warga Kediri, Bagikan BLT-Kursi Roda",https://www.detik.com/jatim/berita/d-7890412/kepedulian-walkot-vinanda-ke-warga-kediri-bagikan-blt-kursi-roda,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"Video: Subsidi BBM-Listrik Tak Tepat Sasaran, Bahlil Bakal Kaji Jadi BLT",https://20.detik.com/detikupdate/20241103-241103083/video-subsidi-bbm-listrik-tak-tepat-sasaran-bahlil-bakal-kaji-jadi-blt,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Kata Bahlil Soal Opsi Alihkan Subsisi BBM-Listrik untuk BLT,https://www.detik.com/sumut/berita/d-7618281/kata-bahlil-soal-opsi-alihkan-subsisi-bbm-listrik-untuk-blt,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
DPR hingga Petani Tolak Wacana Subsidi Pupuk Diganti BLT,https://finance.detik.com/berita-ekonomi-bisnis/d-7532828/dpr-hingga-petani-tolak-wacana-subsidi-pupuk-diganti-blt,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"Pemerintah Kaji Subsidi BBM Diubah Jadi BLT, Mensos: Lagi Konsolidasi Data",https://news.detik.com/berita/d-7625385/pemerintah-kaji-subsidi-bbm-diubah-jadi-blt-mensos-lagi-konsolidasi-data,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Ratusan Buruh Rokok di Pekalongan Terima BLT Cukai,https://finance.detik.com/foto-bisnis/d-7845116/ratusan-buruh-rokok-di-pekalongan-terima-blt-cukai,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"KTP Dipinjam Buat Akali Pajak Progresif Kendaraan, Bisa-bisa Tak Dapat BLT!",https://oto.detik.com/berita/d-7641493/ktp-dipinjam-buat-akali-pajak-progresif-kendaraan-bisa-bisa-tak-dapat-blt,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Zulhas Sebut BLT Rp 600 Ribu Bisa Disalahgunakan buat Judi Online,https://finance.detik.com/berita-ekonomi-bisnis/d-7668527/zulhas-sebut-blt-rp-600-ribu-bisa-disalahgunakan-buat-judi-online,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Hampir 500 Pekerja Dapat BLT Dana Bagi Hasil Cukai Tembakau,https://finance.detik.com/industri/d-7846558/hampir-500-pekerja-dapat-blt-dana-bagi-hasil-cukai-tembakau,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
Dharma Pongrekun Ajak Warga Jangan Terbiasa BLT: Kita Dididik Jadi Pengemis,https://news.detik.com/pilkada/d-7638442/dharma-pongrekun-ajak-warga-jangan-terbiasa-blt-kita-dididik-jadi-pengemis,https://www.detik.com/search/searchall?query=blt&page=1&result_type=relevansi
"Singapura Bakal Cairkan BLT Rp 10 Juta ke 1,5 Juta Warganya!",https://finance.detik.com/berita-ekonomi-bisnis/d-7422875/singapura-bakal-cairkan-blt-rp-10-juta-ke-1-5-juta-warganya,https://www.detik.com/search/searchall?query=blt&page=2
"Simak Skema Pencairan, Jadwal dan Syarat Menerima BLT BBM 2025",https://www.detik.com/jatim/berita/d-7755664/simak-skema-pencairan-jadwal-dan-syarat-menerima-blt-bbm-2025,https://www.detik.com/search/searchall?query=blt&page=2
Eks Kades di Purwakarta Jadi Tersangka Korupsi BLT Dana Desa,https://www.detik.com/jabar/hukum-dan-kriminal/d-7755502/eks-kades-di-purwakarta-jadi-tersangka-korupsi-blt-dana-desa,https://www.detik.com/search/searchall?query=blt&page=2
"Video Hasan Janji Tingkatkan BLT untuk Atasi Kemiskinan, Surya: Itu Normatif",https://20.detik.com/detikupdate/20241030-241030172/video-hasan-janji-tingkatkan-blt-untuk-atasi-kemiskinan-surya-itu-normatif,https://www.detik.com/search/searchall?query=blt&page=2
Bocoran 3 Skema Pengalihan Subsidi Menjadi BLT,https://finance.detik.com/energi/d-7637326/bocoran-3-skema-pengalihan-subsidi-menjadi-blt,https://www.detik.com/search/searchall?query=blt&page=2
Mantan Kades di Muratara Jadi Tersangka Kasus Korupsi Dana BLT,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7724451/mantan-kades-di-muratara-jadi-tersangka-kasus-korupsi-dana-blt,https://www.detik.com/search/searchall?query=blt&page=2
Bahlil Pastikan Ada BLT buat Pengganti Subsidi BBM dan Listrik,https://finance.detik.com/energi/d-7721670/bahlil-pastikan-ada-blt-buat-pengganti-subsidi-bbm-dan-listrik,https://www.detik.com/search/searchall?query=blt&page=2
4.657 Buruh Rokok di Kediri Dapat BLT Rp 1 Juta,https://finance.detik.com/foto-bisnis/d-7535678/4-657-buruh-rokok-di-kediri-dapat-blt-rp-1-juta,https://www.detik.com/search/searchall?query=blt&page=2
"BLT Mitigasi Risiko Pangan Tak Kunjung Cair, Ini Dalih Airlangga",https://finance.detik.com/berita-ekonomi-bisnis/d-7313379/blt-mitigasi-risiko-pangan-tak-kunjung-cair-ini-dalih-airlangga,https://www.detik.com/search/searchall?query=blt&page=2
241 Pekerja Dapat BLT Dana Bagi Hasil Tembakau Rp 800 Ribu,https://finance.detik.com/industri/d-7870745/241-pekerja-dapat-blt-dana-bagi-hasil-tembakau-rp-800-ribu,https://www.detik.com/search/searchall?query=blt&page=2
Kemenkeu Beberkan Rencana Penyaluran Subsidi BBM Jadi BLT di 2025,https://finance.detik.com/energi/d-7682249/kemenkeu-beberkan-rencana-penyaluran-subsidi-bbm-jadi-blt-di-2025,https://www.detik.com/search/searchall?query=blt&page=2
"Bahlil Mau Bertemu Sri Mulyani, Bahas Subsidi BBM Bentuk BLT",https://finance.detik.com/energi/d-7658924/bahlil-mau-bertemu-sri-mulyani-bahas-subsidi-bbm-bentuk-blt,https://www.detik.com/search/searchall?query=blt&page=2
"Bahlil Bocorkan Skema Subsidi BBM, Nggak Semua buat BLT",https://finance.detik.com/energi/d-7658865/bahlil-bocorkan-skema-subsidi-bbm-nggak-semua-buat-blt,https://www.detik.com/search/searchall?query=blt&page=3
"Cara Cek Penerima BLT BBM 2025, serta Syarat, Besaran, hingga Skemanya",https://www.detik.com/sulsel/berita/d-7820917/cara-cek-penerima-blt-bbm-2025-serta-syarat-besaran-hingga-skemanya,https://www.detik.com/search/searchall?query=blt&page=3
"BLT Mitigasi Risiko Pangan Tak Kunjung Cair, Airlangga Bilang Begini",https://finance.detik.com/berita-ekonomi-bisnis/d-7305129/blt-mitigasi-risiko-pangan-tak-kunjung-cair-airlangga-bilang-begini,https://www.detik.com/search/searchall?query=blt&page=3
Penjelasan Jokowi soal Tebar BLT Jelang Pemilu,https://20.detik.com/detikupdate/20240202-240202084/penjelasan-jokowi-soal-tebar-blt-jelang-pemilu,https://www.detik.com/search/searchall?query=blt&page=3
